name,model,dataset,timestamp,wer,wer_pct,rtf_mean,rtf_p50,rtf_p95,num_samples
whisper-50examples,whisper,eval_10h,2026-01-07T23:48:20.679345,0.058223,5.82,0.025696,0.024671,0.038121,50
parakeet-50examples,parakeet,eval_10h,2026-01-07T23:56:32.331543,0.035161,3.52,0.007353,0.006190,0.013135,50
